code|name|category|groups|chromosome|protein|gene|information|active
A23.9|Brucelosis, no especificada|25|INFECTIOUS,NOTIFIABLE|||||True
A24|Muermo y melioidosis|25|INFECTIOUS|||||True
A24.0|Muermo|25|INFECTIOUS|||||True
A24.1|Melioidosis aguda y fulminante|25|INFECTIOUS|||||True
A24.2|Melioidosis subaguda y crónica|25|INFECTIOUS|||||True
A24.3|Otras melioidosis|25|INFECTIOUS|||||True
A24.4|Melioidosis, no especificada|25|INFECTIOUS|||||True
A25|Fiebres por mordedura de rata|25|INFECTIOUS|||||True
A25.0|Espirilosis|25|INFECTIOUS|||||True
A25.1|Estreptobacilosis|25|INFECTIOUS|||||True
A25.9|Fiebre por mordedura de rata, no especificada|25|INFECTIOUS|||||True
A26|Erisipeloide|25|INFECTIOUS|||||True
A26.0|Erisipeloide cutáneo|25|INFECTIOUS|||||True
A26.7|Septicemia por Erysipelothrix|25|INFECTIOUS|||||True
A26.8|Otras formas de erisipeloide|25|INFECTIOUS|||||True
A26.9|Erisipeloide, no especificada|25|INFECTIOUS|||||True
A27|Leptospirosis|25|INFECTIOUS|||||True
A27.0|Leptospirosis icterohemorrágica|25|INFECTIOUS|||||True
A27.8|Otras formas de leptospirosis|25|INFECTIOUS|||||True
A27.9|Leptospirosis, no especificada|25|INFECTIOUS|||||True
A28|Otras enfermedades zoonóticas bacterianas, no clasificadas en otra parte|25|INFECTIOUS|||||True
A28.0|Pasteurelosis|25|INFECTIOUS|||||True
A28.1|Enfermedad por rasguño de gato|25|INFECTIOUS|||||True
A28.2|Yersiniosis extraintestinal|25|INFECTIOUS|||||True
A28.8|Otras enfermedades zoonóticas bacterianas especificadas, no clasificadas en otra parte|25|INFECTIOUS|||||True
A28.9|Enfermedad zoonótica bacteriana, sin otra especificación|25|INFECTIOUS|||||True
A30|Lepra [enfermedad de Hansen]|26|INFECTIOUS,NOTIFIABLE|||||True
A30.0|Lepra indeterminada|26|INFECTIOUS,NOTIFIABLE|||||True
A30.1|Lepra tuberculoide|26|INFECTIOUS,NOTIFIABLE|||||True
A30.2|Lepra tuberculoide limítrofe|26|INFECTIOUS,NOTIFIABLE|||||True
A30.3|Lepra limítrofe|26|INFECTIOUS,NOTIFIABLE|||||True
A30.4|Lepra lepromatosa limítrofe|26|INFECTIOUS,NOTIFIABLE|||||True
A30.5|Lepra lepromatosa|26|INFECTIOUS,NOTIFIABLE|||||True
A30.8|Otras formas de lepra|26|INFECTIOUS,NOTIFIABLE|||||True
A30.9|Lepra, no especificada|26|INFECTIOUS,NOTIFIABLE|||||True
A31|Infecciones debidas a otras micobacterias|26|INFECTIOUS|||||True
A31.0|Infecciones por micobacterias pulmonares|26|INFECTIOUS|||||True
A31.1|Infección cutánea por micobacterias|26|INFECTIOUS|||||True
A31.8|Otras infecciones por micobacterias|26|INFECTIOUS|||||True
A31.9|Infección por micobacteria, no especificada|26|INFECTIOUS|||||True
A32|Listeriosis|26|INFECTIOUS,NOTIFIABLE|||||True
A32.0|Listeriosis cutánea|26|INFECTIOUS,NOTIFIABLE|||||True
A32.1|Meningitis y meningoencefalitis listeriana|26|INFECTIOUS,NOTIFIABLE|||||True
A32.7|Septicemia listeriana|26|INFECTIOUS,NOTIFIABLE|||||True
A32.8|Otras formas de listeriosis|26|INFECTIOUS,NOTIFIABLE|||||True
A32.9|Listeriosis, no especificada|26|INFECTIOUS,NOTIFIABLE|||||True
A33|Tétanos neonatal|26|INFECTIOUS,NOTIFIABLE|||||True
A34|Tétanos obstétrico|26|INFECTIOUS,NOTIFIABLE|||||True
A35|Otros tétanos|26|INFECTIOUS,NOTIFIABLE|||||True
A36|Difteria|26|INFECTIOUS,NOTIFIABLE|||||True
A36.0|Difteria faríngea|26|INFECTIOUS,NOTIFIABLE|||||True
A36.1|Difteria nasofaríngea|26|INFECTIOUS,NOTIFIABLE|||||True
A36.2|Difteria laríngea|26|INFECTIOUS,NOTIFIABLE|||||True
A36.3|Difteria cutánea|26|INFECTIOUS,NOTIFIABLE|||||True
A36.8|Otras difterias|26|INFECTIOUS,NOTIFIABLE|||||True
A36.9|Difteria, no especificada|26|INFECTIOUS,NOTIFIABLE|||||True
A37|Tos ferina [tos convulsiva]|26|INFECTIOUS,NOTIFIABLE|||||True
A37.0|Tos ferina debida a Bordetella pertussis|26|INFECTIOUS,NOTIFIABLE|||||True
A37.1|Tos ferina debida a Bordetella parapertussis|26|INFECTIOUS,NOTIFIABLE|||||True
A37.8|Tos ferina debida a otras especies de Bordetella|26|INFECTIOUS,NOTIFIABLE|||||True
A37.9|Tos ferina, no especificada|26|INFECTIOUS,NOTIFIABLE|||||True
A38|Escarlatina|26|INFECTIOUS|||||True
A39|Infección meningocócica|26|INFECTIOUS,NOTIFIABLE|||||True
A39.0|Meningitis meningocócica (G01*)|26|INFECTIOUS,NOTIFIABLE|||||True
A39.1|Síndrome de Waterhouse-Friderichsen (E35.1*)|26|INFECTIOUS,NOTIFIABLE|||||True
A39.2|Meningococemia aguda|26|INFECTIOUS,NOTIFIABLE|||||True
A39.3|Meningococemia crónica|26|INFECTIOUS,NOTIFIABLE|||||True
A39.4|Meningococemia, no especificada|26|INFECTIOUS,NOTIFIABLE|||||True
A39.5|Enfermedad cardíaca debida a meningococo|26|INFECTIOUS,NOTIFIABLE|||||True
A39.8|Otras infecciones meningocócicas:|26|INFECTIOUS,NOTIFIABLE|||||True
A39.9|Infección meningocócica, no especificada|26|INFECTIOUS,NOTIFIABLE|||||True
A40|Septicemia estreptocócica|26|INFECTIOUS|||||True
A40.0|Septicemia debida a estreptococo, grupo A|26|INFECTIOUS|||||True
A40.1|Septicemia debida a estreptococo, grupo B|26|INFECTIOUS|||||True
A40.2|Septicemia debida a estreptococo, grupo D|26|INFECTIOUS|||||True
A40.3|Septicemia debida a Streptococcus pneumoniae|26|INFECTIOUS|||||True
A40.8|Otras septicemias estreptocócicas|26|INFECTIOUS|||||True
A40.9|Septicemia estreptocócica, no especificada|26|INFECTIOUS|||||True
A41|Otras septicemias|26|INFECTIOUS|||||True
A41.0|Septicemia debida a Staphylococcus aureus|26|INFECTIOUS|||||True
A41.1|Septicemia debida a otro estafilococo especificado|26|INFECTIOUS|||||True
A41.2|Septicemia debida a estafilococo no especificado|26|INFECTIOUS|||||True
A41.3|Septicemia debida a Haemophilus influenzae|26|INFECTIOUS|||||True
A41.4|Septicemia debida a anaerobios|26|INFECTIOUS|||||True
A41.5|Septicemia debida a otros organismos gramnegativos|26|INFECTIOUS|||||True
A41.8|Otras septicemias especificadas|26|INFECTIOUS|||||True
A41.9|Septicemia, no especificada|26|INFECTIOUS|||||True
A42|Actinomicosis|26|INFECTIOUS|||||True
A42.0|Actinomicosis pulmonar|26|INFECTIOUS|||||True
A42.1|Actinomicosis abdominal|26|INFECTIOUS|||||True
A42.2|Actinomicosis cervicofacial|26|INFECTIOUS|||||True
A42.7|Septicemia actinomicótica|26|INFECTIOUS|||||True
A42.8|Otras formas de actinomicosis|26|INFECTIOUS|||||True
A42.9|Actinomicosis, sin otra especificación|26|INFECTIOUS|||||True
A43|Nocardiosis|26|INFECTIOUS|||||True
A43.0|Nocardiosis pulmonar|26|INFECTIOUS|||||True
A43.1|Nocardiosis cutánea|26|INFECTIOUS|||||True
A43.8|Otras formas de nocardiosis|26|INFECTIOUS|||||True
A43.9|Nocardiosis, no especificada|26|INFECTIOUS|||||True
A44|Bartonelosis|26|INFECTIOUS|||||True
A44.0|Bartonelosis sistémica|26|INFECTIOUS|||||True
A44.1|Bartonelosis cutánea y mucocutánea|26|INFECTIOUS|||||True
A44.8|Otras formas de bartonelosis|26|INFECTIOUS|||||True
A44.9|Bartonelosis, no especificada|26|INFECTIOUS|||||True
A46|Erisipela|26|INFECTIOUS|||||True
A48|Otras enfermedades bacterianas, no clasificadas en otra parte|26|INFECTIOUS|||||True
A48.0|Gangrena gaseosa|26|INFECTIOUS|||||True
A48.1|Enfermedad de los legionarios|26|INFECTIOUS,NOTIFIABLE|||||True
A48.2|Enfermedad de los legionarios no neumónica [fiebre de Pontiac]|26|INFECTIOUS,NOTIFIABLE|||||True
A48.3|Síndrome del choque tóxico|26|INFECTIOUS,NOTIFIABLE|||||True
A48.4|Fiebre purpúrica brasileña|26|INFECTIOUS|||||True
A48.8|Otras enfermedades bacterianas especificadas|26|INFECTIOUS|||||True
A49|Infección bacteriana de sitio no especificado|26|INFECTIOUS|||||True
A49.0|Infección estafilocócica, sin otra especificación|26|INFECTIOUS|||||True
A49.1|Infección estreptocócica, sin otra especificación|26|INFECTIOUS|||||True
A49.2|Infección por Haemophilus influenzae, sin otra especificación|26|INFECTIOUS,NOTIFIABLE|||||True
A49.3|Infección por micoplasma, sin otra especificación|26|INFECTIOUS|||||True
A49.8|Otras infecciones bacterianas de sitio no especificado|26|INFECTIOUS|||||True
A49.9|Infección bacteriana, no especificada|26|INFECTIOUS|||||True
A50|Sífilis congénita|27|INFECTIOUS,NOTIFIABLE|||||True
A50.0|Sífilis congénita precoz, sintomática|27|INFECTIOUS,NOTIFIABLE|||||True
A50.1|Sífilis congénita precoz, latente|27|INFECTIOUS,NOTIFIABLE|||||True
A50.2|Sífilis congénita precoz, sin otra especificación|27|INFECTIOUS,NOTIFIABLE|||||True
A50.3|Oculopatía sifilítica congénita tardía|27|INFECTIOUS,NOTIFIABLE|||||True
A50.4|Neurosífilis congénita tardía [neurosífilis juvenil]|27|INFECTIOUS,NOTIFIABLE|||||True
A50.5|Otras formas de sífilis congénita tardía, sintomática|27|INFECTIOUS,NOTIFIABLE|||||True
A50.6|Sífilis congénita tardía, latente|27|INFECTIOUS,NOTIFIABLE|||||True
A50.7|Sífilis congénita tardía, sin otra especificación|27|INFECTIOUS,NOTIFIABLE|||||True
A50.9|Sífilis congénita, sin otra especificación|27|INFECTIOUS,NOTIFIABLE|||||True
A51|Sífilis precoz|27|INFECTIOUS,NOTIFIABLE|||||True
A51.0|Sífilis genital primaria|27|INFECTIOUS,NOTIFIABLE|||||True
A51.1|Sífilis primaria anal|27|INFECTIOUS,NOTIFIABLE|||||True
A51.2|Sífilis primaria en otros sitios|27|INFECTIOUS,NOTIFIABLE|||||True
A51.3|Sífilis secundaria de piel y membranas mucosas|27|INFECTIOUS,NOTIFIABLE|||||True
A51.4|Otras sífilis secundarias|27|INFECTIOUS,NOTIFIABLE|||||True
A51.5|Sífilis precoz, latente|27|INFECTIOUS,NOTIFIABLE|||||True
A51.9|Sífilis precoz, sin otra especificación|27|INFECTIOUS,NOTIFIABLE|||||True
A52|Sífilis tardía|27|INFECTIOUS,NOTIFIABLE|||||True
A52.0|Sífilis cardiovascular|27|INFECTIOUS,NOTIFIABLE|||||True
A52.1|Neurosífilis sintomática|27|INFECTIOUS,NOTIFIABLE|||||True
A52.2|Neurosífilis asintomática|27|INFECTIOUS,NOTIFIABLE|||||True
A52.3|Neurosífilis no especificada|27|INFECTIOUS,NOTIFIABLE|||||True
A52.7|Otras sífilis tardías sintomáticas|27|INFECTIOUS,NOTIFIABLE|||||True
A52.8|Sífilis tardía, latente|27|INFECTIOUS,NOTIFIABLE|||||True
A52.9|Sífilis tardía, no especificada|27|INFECTIOUS,NOTIFIABLE|||||True
A53|Otras sífilis y las no especificadas|27|INFECTIOUS,NOTIFIABLE|||||True
A53.0|Sífilis latente, no especificada como precoz o tardía|27|INFECTIOUS,NOTIFIABLE|||||True
A53.9|Sífilis, no especificada|27|INFECTIOUS,NOTIFIABLE|||||True
A54|Infección gonocócica|27|INFECTIOUS,NOTIFIABLE|||||True
A54.0|Infección gonocócica del tracto genitourinario inferior sin absceso periuretral o de glándula accesoria|27|INFECTIOUS,NOTIFIABLE|||||True
A54.1|Infección gonocócica del tracto genitourinario inferior con absceso periuretral y de glándulas accesorias|27|INFECTIOUS,NOTIFIABLE|||||True
A54.2|Pelviperitonitis gonocócica y otras infecciones gonocócicas genitourinarias|27|INFECTIOUS,NOTIFIABLE|||||True
A54.3|Infección gonocócica del ojo|27|INFECTIOUS,NOTIFIABLE|||||True
A54.4|Infección gonocócica del sistema osteomuscular|27|INFECTIOUS,NOTIFIABLE|||||True
A54.5|Faringitis gonocócica|27|INFECTIOUS,NOTIFIABLE|||||True
A54.6|Infección gonocócica del ano y del recto|27|INFECTIOUS,NOTIFIABLE|||||True
A54.8|Otras infecciones gonocócicas|27|INFECTIOUS,NOTIFIABLE|||||True
A54.9|Infección gonocócica, no especificada|27|INFECTIOUS,NOTIFIABLE|||||True
A55|Linfogranuloma (venéreo) por clamidias|27|INFECTIOUS|||||True
A56|Otras enfermedades de transmisión sexual debidas a clamidias|27|INFECTIOUS|||||True
A56.0|Infección del tracto genitourinario inferior debida a clamidias|27|INFECTIOUS|||||True
A56.1|Infección del pelviperitoneo y otros órganos genitourinarios debida a clamidias|27|INFECTIOUS|||||True
A56.2|Infecciones del tracto genitourinario debidas a clamidias, sin otra especificación|27|INFECTIOUS|||||True
A56.3|Infección del ano y del recto debida a clamidias|27|INFECTIOUS|||||True
A56.4|Infección de faringe debida a clamidias|27|INFECTIOUS|||||True
A56.8|Infección de transmisión sexual de otros sitios debida a clamidias|27|INFECTIOUS|||||True
A57|Chancro blando|27|INFECTIOUS|||||True
A58|Granuloma inguinal|27|INFECTIOUS|||||True
A59|Tricomoniasis|27|INFECTIOUS|||||True
A59.0|Tricomoniasis urogenital|27|INFECTIOUS|||||True
A59.8|Tricomoniasis de otros sitios|27|INFECTIOUS|||||True
A59.9|Tricomoniasis, no especificada|27|INFECTIOUS|||||True
A60|Infección anogenital debida a virus del herpes [herpes simple]|27|INFECTIOUS|||||True
A60.0|Infección de genitales y trayecto urogenital debida a virus del herpes [herpes simple]|27|INFECTIOUS|||||True
A60.1|Infección de la piel perianal y recto por virus del herpes simple|27|INFECTIOUS|||||True
A60.9|Infección anogenital por virus del herpes simple, sin otra especificación|27|INFECTIOUS|||||True
A63|Otras enfermedades de transmisión predominantemente sexual, no clasificadas en otra parte|27|INFECTIOUS|||||True
A63.0|Verrugas (venéreas) anogenitales|27|INFECTIOUS|||||True
A63.8|Otras enfermedades de transmisión predominantemente sexual, especificadas|27|INFECTIOUS|||||True
A64|Enfermedad de transmisión sexual no especificada|27|INFECTIOUS|||||True
A65|Sífilis no venérea|28|INFECTIOUS|||||True
A66|Frambesia|28|INFECTIOUS|||||True
A66.0|Lesiones iniciales de frambesia|28|INFECTIOUS|||||True
A66.1|Lesiones papilomatosas múltiples y frambesia con paso de cangrejo|28|INFECTIOUS|||||True
A66.2|Otras lesiones precoces de la piel en la frambesia|28|INFECTIOUS|||||True
A66.3|Hiperqueratosis de frambesia|28|INFECTIOUS|||||True
A66.4|Goma y úlceras de frambesia|28|INFECTIOUS|||||True
A66.5|Gangosa|28|INFECTIOUS|||||True
A66.6|Lesiones frambésicas de los huesos y de las articulaciones|28|INFECTIOUS|||||True
A66.7|Otras manifestaciones de frambesia|28|INFECTIOUS|||||True
A66.8|Frambesia latente|28|INFECTIOUS|||||True
A66.9|Frambesia, no especificada|28|INFECTIOUS|||||True
A67|Pinta [carate]|28|INFECTIOUS|||||True
A67.0|Lesiones primarias de la pinta|28|INFECTIOUS|||||True
A67.1|Lesiones intermedias de la pinta|28|INFECTIOUS|||||True
A67.2|Lesiones tardías de la pinta|28|INFECTIOUS|||||True
A67.3|Lesiones mixtas de la pinta|28|INFECTIOUS|||||True
